0,1,2
55861.616841387426,-40052498198456.25,-300.0
49962.752844602895,-35519158164132.81,-3327.0
66990.22378136918,-42766838096578.125,-517.0
26779.709709991665,-35951818154934.375,-660.0
51511.63022248494,-35103318241142.188,-3797.0
62645.44773830811,-42517518131215.625,-509.0
62646.256446336214,-42517578131215.625,-509.0
43088.0878216142,-39431278222340.625,-487.0
36336.52994407914,-34727858165578.125,-3384.0
76545.74628754189,-39185978002743.75,-3702.0
70118.95526227946,-41683898261321.875,-3361.0
68864.89606569587,-40742398192053.125,-3093.0
32400.028392602468,-34721558264435.938,-3199.0
46444.43304473747,-38830498218915.625,-644.0
35611.244614894946,-34086498193460.938,-3283.0
39186.551994427326,-38836898163553.125,-375.0
32326.823909929346,-33966778210895.312,-3213.0
50750.34529651581,-36541078192304.69,-3403.0
64418.90873207922,-42132938070665.625,-583.0
49965.42637805993,-35519238164132.81,-3327.0
38222.86448430593,-38768678220278.125,-530.0
52778.04164769546,-38682338183515.625,-2908.0
59752.1713468602,-42988998027928.125,-282.0
51050.49043191,-40174698236765.625,-163.0
40522.671759387085,-38962618173006.25,-117.0
58705.70202940629,-36347638175382.81,-3441.0
62666.60865441241,-43292558004043.75,-283.0
30814.11352910872,-35988558195534.375,-3106.0
26124.00471759237,-36307518207309.375,-141.0
28374.453291632108,-37849878243285.94,-266.0
43202.741655077516,-39149658144675.0,-616.0
61018.87535768251,-43263758015040.625,-282.0
61403.89445922687,-42998998024256.25,-283.0
67356.56586210329,-39038258170778.125,-3241.0
37549.996337513854,-38226298217014.06,-533.0
50528.155843749744,-39377258176073.44,-648.0
64068.59911720435,-42068998097018.75,-566.0
19004.986206342015,-34503498174000.0,-231.0
37175.00883109661,-38830878214945.31,-257.0
63026.150866297634,-43031238030528.125,-285.0
64512.28856017373,-42343478113009.375,-2822.0
29325.31810242905,-36517058233946.875,-436.0
30201.103379984863,-32744718206873.438,-3109.0
52220.75374878424,-42397438087868.75,-287.0
33117.53455799936,-37702898232912.5,-3060.0
63593.640247074305,-37605178177621.875,-3551.0
23863.614798124665,-35749838072731.25,-589.0
61849.22729853178,-42008398064509.375,-521.0
28315.786632238054,-35902378178159.375,-727.0
25197.74511321878,-33012718180145.312,-3042.0
32457.7983420178,-37636158253337.5,-2916.0
17911.512521309625,-35041098130492.188,-197.0
31300.02722564164,-37988778258175.0,-1295.0
49557.9370018525,-33918078209659.375,-3396.0
61240.9980779427,-40362978231512.5,-480.0
30793.670297240187,-38411978259534.375,-164.0
23718.088527749966,-36224658145678.125,-427.0
87863.02408380124,-39462498221139.06,-3784.0
60745.14465832061,-39584358155792.19,-495.0
41376.890554454505,-39022938142931.25,-596.0
37737.522485382884,-38577258169562.5,-668.0
53063.37704777331,-39383778185365.625,-2768.0
61182.0221207961,-38282938232495.31,-3258.0
59981.71783966953,-36556538239153.125,-3796.0
19281.72137567033,-35735998128835.94,-232.0
59916.0623971578,-39442098207081.25,-2801.0
64547.392183807075,-43482637977081.25,-473.0
16561.889878843016,-34209298154348.438,-191.0
64012.067710227595,-37700178234746.875,-3530.0
64168.29245456607,-41912418182846.875,-3057.0
21065.055676175652,-35981518214321.875,-173.0
30635.202896591858,-37887978270450.0,-1288.0
34570.677649479396,-35969518190146.875,-3273.0
29790.80788827227,-37176058231778.125,-2696.0
17791.11030480032,-33665178179912.5,-258.0
25456.78258237128,-35806638188487.5,-668.0
27179.939273753786,-36895538163362.5,-267.0
59266.177148127994,-37589658177637.5,-3615.0
65024.519533610386,-38893158204015.625,-3246.0
35951.67752323784,-38198638141106.25,-3243.0
19544.164703476923,-34612058119595.312,-2902.0
19807.677892498414,-36579998116962.5,-87.0
61654.57840118279,-41186198309635.94,-2788.0
26534.78482275678,-36331398237554.69,-164.0
16330.96097076014,-33827678201043.75,-257.0
28278.98196200553,-36689678184681.25,-273.0
26942.749560682358,-36384458154318.75,-669.0
